"job_id","skill"
"711636400","JSON"
"711636400","XML"
"711636400","SSIS"
"711636400","JavaScript"
"711636400","Lua"
"711636400","AGI"
"711636400","Communication"
"711636400","Dance"
"711636500","Python"
"711636500","SQL"
"711636500","Data management"
"711636500","ETL"
"711636500","R"
"711636500","ANN"
"711636500","C++"
"711636500","JSON"
"711636500","XML"
"711636500","SSIS"
"711636500","JavaScript"
"711636500","Lua"
"711636500","AGI"
"711636500","Communication"
"711636500","Dance"
"711774600","Machine Learning"
"711774600","Data quality"
"711774600","ANN"
"711774600","C++"
"711774600","Statistical modeling"
"711774600","SSIS"
"711774600","Lua"
"711774600","AGI"
"711774600","Writing"
"711774600","Machine learning algorithms"
"711774600","Sampling"
"709708600","Research"
"709708600","SAS"
"709708600","C++"
"709708600","Lua"
"709708600","CAD"
"709708600","Data Science"
"709708600","Editing"
"709708600","Public Health"
"709708700","Research"
"709708700","SAS"
"709708700","C++"
"709708700","Lua"
"709708700","CAD"
"709708700","Data Science"
"709708700","Editing"
"709708700","Public Health"
"710310800","SAS"
"710310800","ANN"
"710310800","C++"
"710310800","Lua"
"710310800","CAD"
"710310800","Editing"
"710310800","Dance"
"710310800","Public Health"
"712053500","Research"
"712053500","Data visualization"
"712053500","Testing"
"712053500","SAS"
"712053500","ANN"
"712053500","C++"
"712053500","Lua"
"712053500","Rust"
"712053500","CAD"
"712053500","Editing"
"712053500","Law"
"712053500","Human Resources "
"712053500","Dance"
"712053500","Public Health"
"710200000","Engineering"
"710200000","Computer Science"
"710200000","Data visualization"
"710200000","Mathematics"
"710200000","Statistics"
"710200000","Economics"
"710200000","Data management"
"710200000","ANN"
"710200000","C++"
"710200000","AGI"
"710200000","Electronics"
"710200000","History"
"710200000","Anthropology"
"710201500","Engineering"
"710201500","Computer Science"
"710201500","Data visualization"
"710201500","Mathematics"
"710201500","Statistics"
"710201500","Economics"
"710201500","Data management"
"710201500","ANN"
"710201500","C++"
"710201500","AGI"
"710201500","Electronics"
"710201500","History"
"710201500","Anthropology"
"710983900","Data warehouse"
"710983900","Python"
"710983900","SQL"
"710983900","R"
"710983900","SAS"
"710983900","ANN"
"710983900","C++"
"710983900","Lua"
"711548000","Computer Science"
"711548000","Mathematics"
"711548000","Statistics"
"711548000","Testing"
"711548000","SAS"
"711548000","ANN"
"711548000","C++"
"711548000","Lua"
"711548000","Rust"
"711548000","Data Science"
"711548000","Law"
"711548000","Human Resources "
"711548000","Dance"
"712057900","Python"
"712057900","SQL"
"712057900","R"
"712057900","SAS"
"712057900","ANN"
"712057900","C++"
"712057900","Lua"
"712057900","AGI"
"712057900","Data Science"
"690711800","Engineering"
"690711800","Research"
"690711800","Linear algebra"
"690711800","Mathematics"
"690711800","Statistics"
"690711800","Economics"
"690711800","Data analysis"
"690711800","STEM"
"690711800","ANN"
"690711800","C++"
"690711800","Lua"
"690711800","Probability theory"
"690711800","History"
"690711800","Anthropology"
"690711800","Medicine"
"690711800","Calculus"
"690711800","Sampling"
"687971500","Engineering"
"687971500","Research"
"687971500","Linear algebra"
"687971500","Mathematics"
"687971500","Statistics"
"687971500","Economics"
"687971500","Data analysis"
"687971500","STEM"
"687971500","ANN"
"687971500","C++"
"687971500","Lua"
"687971500","Probability theory"
"687971500","History"
"687971500","Anthropology"
"687971500","Medicine"
"687971500","Calculus"
"687971500","Sampling"
"688790200","Engineering"
"688790200","Python"
"688790200","SQL"
"688790200","Research"
"688790200","Data visualization"
"688790200","Deep Learning"
"688790200","Linear algebra"
"688790200","Machine Learning"
"688790200","Mathematics"
"688790200","Statistics"
"688790200","Architecture"
"688790200","Economics"
"688790200","Business Intelligence"
"688790200","Open Source"
"688790200","R"
"688790200","Data Mining"
"688790200","Unstructured data"
"688790200","STEM"
"688790200","ANN"
"688790200","C++"
"688790200","Oracle"
"688790200",".NET"
"688790200","Lua"
"688790200","CAD"
"688790200","Probability theory"
"688790200","Data Science"
"688790200","History"
"688790200","Anthropology"
"688790200","Medicine"
"688790200","Calculus"
"688790200","Natural Language Processing "
"688790200","Optimization"
"688790200","Neural networks"
"688790200","Sampling"
"710414900","Python"
"710414900","UX"
"710414900","Computer Science"
"710414900","Mathematics"
"710414900","Statistics"
"710414900","Biochemistry"
"710414900","Biology"
"710414900","Chemistry"
"710414900","Physics"
"710414900","R"
"710414900","Data quality"
"710414900","Linux"
"710414900","STEM"
"710414900","ANN"
"710414900","C++"
"710414900","Perl"
"710414900","Lua"
"710414900","Data Science"
"710414900","Organic Chemistry"
"711871300","Python"
"711871300","SQL"
"711871300","Data visualization"
"711871300","Machine Learning"
"711871300","Classification"
"711871300","Open Source"
"711871300","SageMaker"
"711871300","Agile"
"711871300","Kubernetes"
"711871300","R"
"711871300","SAS"
"711871300","STEM"
"711871300","Databricks"
"711871300","Data governance"
"711871300","ANN"
"711871300","C++"
"711871300","RapidMiner"
"711871300","Kibana"
"711871300",".NET"
"711871300","Lua"
"711871300","AGI"
"711871300","Project Management"
"711871300","Data Science"
"711871300","Dance"
"711871300","Natural Language Processing "
"711871300","API"
"708343200","Engineering"
"708343200","Python"
"708343200","SQL"
"708343200","Research"
"708343200","Data visualization"
"708343200","Deep Learning"
"708343200","Linear algebra"
"708343200","Machine Learning"
"708343200","Mathematics"
"708343200","Statistics"
"708343200","Architecture"
"708343200","Economics"
"708343200","Business Intelligence"
"708343200","Open Source"
"708343200","R"
"708343200","Data Mining"
"708343200","Unstructured data"
"708343200","STEM"
"708343200","ANN"
"708343200","C++"
"708343200","Oracle"
"708343200",".NET"
"708343200","Lua"
"708343200","Probability theory"
"708343200","Project Management"
"708343200","Data Science"
"708343200","History"
"708343200","Anthropology"
"708343200","Medicine"
"708343200","Calculus"
"708343200","Natural Language Processing "
"708343200","Optimization"
"708343200","Neural networks"
"708343200","Sampling"
"708877400","Engineering"
"708877400","Python"
"708877400","SQL"
"708877400","Research"
"708877400","Data visualization"
"708877400","Deep Learning"
"708877400","Linear algebra"
"708877400","Machine Learning"
"708877400","Mathematics"
"708877400","Statistics"
"708877400","Architecture"
"708877400","Economics"
"708877400","Business Intelligence"
"708877400","Open Source"
"708877400","R"
"708877400","Data Mining"
"708877400","Unstructured data"
"708877400","STEM"
"708877400","ANN"
"708877400","C++"
"708877400","Oracle"
"708877400",".NET"
"708877400","Lua"
"708877400","CAD"
"708877400","Probability theory"
"708877400","Data Science"
"708877400","History"
"708877400","Anthropology"
"708877400","Medicine"
"708877400","Calculus"
"708877400","Natural Language Processing "
"708877400","Optimization"
"708877400","Neural networks"
"708877400","Sampling"
"708878300","Engineering"
"708878300","Python"
"708878300","SQL"
"708878300","Research"
"708878300","Data visualization"
"708878300","Deep Learning"
"708878300","Linear algebra"
"708878300","Machine Learning"
"708878300","Mathematics"
"708878300","Statistics"
"708878300","Architecture"
"708878300","Economics"
"708878300","Business Intelligence"
"708878300","Open Source"
"708878300","R"
"708878300","Data Mining"
"708878300","Unstructured data"
"708878300","STEM"
"708878300","ANN"
"708878300","C++"
"708878300","Oracle"
"708878300",".NET"
"708878300","Lua"
"708878300","CAD"
"708878300","Probability theory"
"708878300","Data Science"
"708878300","History"
"708878300","Anthropology"
"708878300","Medicine"
"708878300","Calculus"
"708878300","Natural Language Processing "
"708878300","Optimization"
"708878300","Neural networks"
"708878300","Sampling"
"708344100","Engineering"
"708344100","Python"
"708344100","SQL"
"708344100","Research"
"708344100","Data visualization"
"708344100","Deep Learning"
"708344100","Linear algebra"
"708344100","Machine Learning"
"708344100","Mathematics"
"708344100","Statistics"
"708344100","Architecture"
"708344100","Economics"
"708344100","Business Intelligence"
"708344100","Open Source"
"708344100","R"
"708344100","Data Mining"
"708344100","Unstructured data"
"708344100","STEM"
"708344100","ANN"
"708344100","C++"
"708344100","Oracle"
"708344100",".NET"
"708344100","Lua"
"708344100","Probability theory"
"708344100","Project Management"
"708344100","Data Science"
"708344100","History"
"708344100","Anthropology"
"708344100","Medicine"
"708344100","Calculus"
"708344100","Natural Language Processing "
"708344100","Optimization"
"708344100","Neural networks"
"708344100","Sampling"
"688827800","Engineering"
"688827800","Python"
"688827800","SQL"
"688827800","Research"
"688827800","Data visualization"
"688827800","Deep Learning"
"688827800","Linear algebra"
"688827800","Machine Learning"
"688827800","Mathematics"
"688827800","Statistics"
"688827800","Architecture"
"688827800","Economics"
"688827800","Classification"
"688827800","Business Intelligence"
"688827800","Open Source"
"688827800","R"
"688827800","Data Mining"
"688827800","Unstructured data"
"688827800","STEM"
"688827800","ANN"
"688827800","C++"
"688827800","Oracle"
"688827800",".NET"
"688827800","Lua"
"688827800","CAD"
"688827800","Probability theory"
"688827800","Data Science"
"688827800","History"
"688827800","Anthropology"
"688827800","Medicine"
"688827800","Calculus"
"688827800","Natural Language Processing "
"688827800","Optimization"
"688827800","Neural networks"
"688827800","Sampling"
"711822700","Research"
"711822700","Classification"
"711822700","C++"
"711822700","SSIS"
"711822700","Lua"
